datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,Total_sales
1/2/2014,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2014,1,248,Thursday,48.47
1/3/2014,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2014,1,276,Friday,107.0
1/4/2014,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2014,1,276,Saturday,91.35
1/5/2014,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2014,1,276,Sunday,66.1
1/6/2014,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014,1,276,Monday,58.2
1/7/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,276,Tuesday,0.0
1/8/2014,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,1,276,Wednesday,75.22999999999999
1/9/2014,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2014,1,276,Thursday,62.68
1/10/2014,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2014,1,276,Friday,81.3
1/11/2014,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,1,276,Saturday,87.24
1/12/2014,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2014,1,276,Sunday,27.16
1/13/2014,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2014,1,276,Monday,90.2
1/14/2014,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,1,276,Tuesday,62.330000000000005
1/15/2014,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014,1,276,Wednesday,58.04
1/16/2014,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2014,1,276,Thursday,65.6
1/17/2014,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2014,1,276,Friday,58.379999999999995
1/18/2014,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014,1,276,Saturday,83.33
1/19/2014,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2014,1,276,Sunday,32.43
1/20/2014,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014,1,276,Monday,59.54
1/21/2014,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2014,1,276,Tuesday,69.34
1/22/2014,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2014,1,276,Wednesday,52.1
1/23/2014,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014,1,276,Thursday,49.07
